Agent Name,KD,Kills,Deaths,Assists,Pick Rate,ACS,First Blood,Num Matches,Label
11,0.9,13.2,14.7,4.8,0.034,189.0,0.0969999999999999,561.0,1.0
13,0.75,12.0,16.0,6.8,0.031,180.0,0.1169999999999999,510.0,0.0
12,0.92,14.4,15.6,4.8,0.031,217.0,0.0969999999999999,510.0,0.0
7,0.93,12.6,13.5,3.9,0.031,209.0,0.175,510.0,1.0
2,1.04,14.6,14.0,6.7,0.0279999999999999,209.0,0.115,459.0,1.0
1,0.81,12.6,15.5,6.0,0.025,195.0,0.198,408.0,0.0
14,0.81,14.6,18.0,3.8,0.015,193.0,0.11,255.0,0.0
0,1.25,14.8,11.8,4.6,0.015,208.0,0.081,255.0,2.0
9,1.17,18.3,15.6,4.5,0.165,248.0,0.153,5712.0,1.0
4,1.11,17.4,15.7,3.9,0.14,240.0,0.185,4845.0,1.0
10,1.0,14.0,14.0,4.9,0.125,200.0,0.124,4335.0,1.0
8,1.01,16.2,16.0,5.4,0.102,240.0,0.1689999999999999,3519.0,1.0
6,0.9,14.1,15.7,4.9,0.088,196.0,0.122,3060.0,1.0
5,1.05,14.7,14.0,4.0,0.081,215.0,0.107,2805.0,1.0
3,0.99,14.1,14.2,5.0,0.052,191.0,0.069,1785.0,1.0
13,0.96,14.2,14.8,5.7,0.049,206.0,0.115,1683.0,1.0
2,0.96,15.5,16.2,6.9,0.0409999999999999,214.0,0.133,1428.0,1.0
12,0.94,14.1,15.0,6.2,0.04,201.0,0.0819999999999999,1377.0,1.0
7,1.1,18.5,16.8,5.5,0.038,252.0,0.165,1326.0,1.0
1,0.78,12.1,15.5,5.2,0.025,191.0,0.156,867.0,1.0
11,1.07,15.4,14.4,3.7,0.022,210.0,0.156,765.0,1.0
14,0.83,13.2,15.8,4.2,0.019,184.0,0.163,663.0,1.0
0,1.03,16.8,16.3,5.3,0.012,217.0,0.0969999999999999,408.0,0.0
9,1.17,18.2,15.5,3.9,0.148,255.0,0.156,3825.0,1.0
4,1.17,18.5,15.8,3.7,0.144,259.0,0.205,3723.0,1.0
10,1.06,15.4,14.6,4.7,0.134,213.0,0.13,3468.0,1.0
8,1.16,17.6,15.2,6.0,0.089,263.0,0.172,2295.0,1.0
6,1.01,15.0,14.9,4.6,0.087,217.0,0.115,2244.0,1.0
5,1.19,16.1,13.6,4.0,0.067,233.0,0.128,1734.0,1.0
3,1.09,15.0,13.8,4.4,0.059,211.0,0.14,1530.0,1.0
7,1.05,17.2,16.4,4.5,0.053,238.0,0.198,1377.0,1.0
13,1.0,13.4,13.4,5.7,0.049,206.0,0.075,1275.0,1.0
2,0.98,14.9,15.2,7.4,0.0409999999999999,213.0,0.151,1071.0,1.0
12,1.01,14.2,14.1,5.8,0.034,209.0,0.099,867.0,1.0
11,1.0,15.8,15.9,3.1,0.03,216.0,0.1009999999999999,765.0,1.0
1,0.71,12.4,17.3,4.9,0.0279999999999999,178.0,0.127,714.0,1.0
14,1.07,16.8,15.7,2.8,0.022,238.0,0.157,561.0,1.0
0,0.9,12.8,14.1,6.5,0.016,188.0,0.078,408.0,1.0
10,1.09,16.2,14.9,5.2,0.19,216.0,0.138,1734.0,1.0
9,1.03,15.7,15.2,4.2,0.168,226.0,0.115,1530.0,1.0
8,0.99,14.5,14.6,4.4,0.151,240.0,0.156,1377.0,1.0
4,1.43,20.9,14.6,4.3,0.1119999999999999,280.0,0.23,1020.0,2.0
5,0.93,13.2,14.2,4.6,0.1009999999999999,192.0,0.071,918.0,1.0
6,1.01,13.6,13.5,4.9,0.061,200.0,0.107,561.0,1.0
3,0.83,14.2,17.1,4.1,0.0559999999999999,178.0,0.092,510.0,1.0
12,1.01,16.0,15.9,3.9,0.045,212.0,0.055,408.0,0.0
7,1.17,16.6,14.1,4.9,0.039,258.0,0.103,357.0,1.0
2,0.75,13.8,18.4,9.6,0.0279999999999999,188.0,0.145,255.0,1.0
0,1.29,16.3,12.7,3.3,0.017,215.0,0.122,153.0,1.0
11,1.19,14.3,12.0,5.7,0.017,213.0,0.14,153.0,2.0
1,0.73,8.0,11.0,5.5,0.011,155.0,0.125,102.0,1.0
13,1.07,16.0,15.0,9.0,0.006,207.0,0.125,51.0,2.0
10,0.85,12.0,14.0,4.0,0.152,177.0,0.118,3366.0,1.0
9,0.93,14.1,15.2,4.8,0.136,217.0,0.168,3009.0,1.0
4,1.04,15.4,14.8,4.4,0.127,233.0,0.177,2805.0,1.0
8,1.0,16.0,16.0,5.6,0.09,230.0,0.143,1989.0,1.0
5,0.92,12.5,13.6,4.6,0.083,189.0,0.089,1836.0,1.0
12,0.82,12.2,14.9,5.1,0.067,188.0,0.141,1479.0,1.0
6,1.05,13.5,12.8,4.3,0.055,198.0,0.096,1224.0,1.0
2,0.89,13.9,15.7,5.6,0.053,204.0,0.147,1173.0,1.0
13,0.87,12.7,14.6,6.1,0.051,170.0,0.079,1122.0,1.0
7,0.91,12.7,13.9,4.1,0.048,203.0,0.105,1071.0,1.0
11,0.8,12.7,15.8,4.4,0.046,177.0,0.11,1020.0,0.0
3,1.01,14.8,14.6,4.6,0.035,211.0,0.113,765.0,1.0
14,0.65,11.4,17.7,3.5,0.0279999999999999,165.0,0.109,612.0,0.0
1,0.81,13.3,16.4,5.1,0.018,187.0,0.142,408.0,1.0
