Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Label
12,6.4,0.153,0.759,0.087,0
14,6.2,0.118,0.737,0.144,0
3,6.2,0.13,0.7509999999999999,0.118,0
2,6.1,0.1169999999999999,0.741,0.142,1
11,6.1,0.136,0.735,0.128,2
0,6.1,0.075,0.687,0.238,0
7,6.0,0.118,0.674,0.208,0
9,6.0,0.104,0.693,0.203,1
16,6.0,0.139,0.732,0.129,2
6,5.9,0.154,0.754,0.092,2
15,5.9,0.159,0.715,0.127,0
13,5.8,0.114,0.659,0.2269999999999999,0
1,5.7,0.1369999999999999,0.7020000000000001,0.161,0
10,5.6,0.0969999999999999,0.845,0.059,2
8,5.2,0.163,0.784,0.054,2
16,9.4,0.148,0.752,0.099,2
11,5.8,0.141,0.748,0.11,2
14,3.5,0.12,0.755,0.125,0
10,3.1,0.091,0.868,0.0409999999999999,2
9,2.9,0.103,0.703,0.1939999999999999,1
5,2.4,0.171,0.743,0.086,0
0,2.3,0.081,0.726,0.192,0
6,1.7,0.17,0.7609999999999999,0.069,2
7,1.7,0.1119999999999999,0.726,0.163,0
3,1.6,0.144,0.762,0.093,0
12,1.4,0.193,0.742,0.065,1
2,1.4,0.122,0.777,0.1,1
4,1.3,0.144,0.76,0.095,0
8,1.2,0.22,0.725,0.055,2
15,1.0,0.1639999999999999,0.722,0.114,0
1,0.9,0.161,0.722,0.1169999999999999,0
13,0.7,0.1169999999999999,0.7340000000000001,0.149,0
16,18.2,0.228,0.711,0.062,2
11,10.8,0.212,0.725,0.063,2
14,4.1,0.174,0.741,0.086,0
10,3.9,0.085,0.88,0.035,2
5,3.2,0.276,0.675,0.049,0
9,3.1,0.148,0.701,0.151,1
12,2.6,0.271,0.687,0.042,1
3,2.3,0.216,0.73,0.054,0
7,1.7,0.132,0.732,0.136,0
6,1.6,0.284,0.669,0.047,2
2,1.5,0.196,0.737,0.067,1
4,1.3,0.203,0.741,0.0559999999999999,0
8,1.3,0.221,0.726,0.053,2
0,1.3,0.084,0.701,0.215,0
13,0.7,0.13,0.7490000000000001,0.122,0
1,0.6,0.205,0.769,0.026,0
15,0.6,0.21,0.732,0.0579999999999999,0
16,9.7,0.2289999999999999,0.7040000000000001,0.067,2
11,5.6,0.213,0.718,0.07,2
10,4.5,0.094,0.875,0.031,2
6,2.3,0.278,0.722,0.0,2
14,2.1,0.136,0.755,0.109,0
12,2.0,0.306,0.648,0.046,1
9,2.0,0.154,0.6920000000000001,0.154,2
5,1.8,0.251,0.708,0.0409999999999999,0
7,1.7,0.14,0.7290000000000001,0.132,0
4,1.6,0.243,0.7,0.057,0
3,1.1,0.191,0.75,0.059,0
2,1.1,0.136,0.818,0.045,1
8,1.0,0.2,0.8,0.0,2
0,1.0,0.043,0.957,0.0,0
15,0.8,0.292,0.542,0.1669999999999999,0
13,0.4,0.3329999999999999,0.667,0.0,0
16,10.4,0.1989999999999999,0.7340000000000001,0.067,2
11,6.2,0.18,0.743,0.077,2
10,3.1,0.1,0.852,0.048,2
14,3.0,0.159,0.746,0.095,0
9,2.5,0.136,0.705,0.159,1
5,2.2,0.223,0.718,0.059,0
7,1.7,0.13,0.747,0.122,0
12,1.5,0.244,0.7090000000000001,0.046,1
3,1.4,0.198,0.743,0.059,0
4,1.4,0.175,0.75,0.075,0
2,1.3,0.1969999999999999,0.736,0.068,1
6,1.3,0.253,0.688,0.0579999999999999,2
0,1.3,0.0969999999999999,0.693,0.21,0
8,1.2,0.198,0.7559999999999999,0.046,2
15,0.9,0.174,0.735,0.091,0
1,0.9,0.174,0.747,0.079,0
13,0.6,0.147,0.746,0.108,0
16,6.4,0.12,0.726,0.153,1
11,5.3,0.11,0.723,0.166,1
14,4.5,0.1009999999999999,0.7340000000000001,0.166,0
0,3.4,0.071,0.6859999999999999,0.244,0
9,3.0,0.083,0.6990000000000001,0.218,1
10,2.6,0.084,0.838,0.077,2
6,2.3,0.118,0.7390000000000001,0.142,2
2,2.2,0.066,0.725,0.209,0
5,1.9,0.109,0.733,0.158,0
7,1.8,0.096,0.713,0.191,0
3,1.6,0.103,0.753,0.144,0
12,1.4,0.14,0.7240000000000001,0.1369999999999999,0
8,1.2,0.146,0.789,0.065,1
4,0.9,0.119,0.735,0.146,0
1,0.9,0.092,0.72,0.188,0
13,0.8,0.1169999999999999,0.738,0.146,0
15,0.8,0.12,0.685,0.195,0
16,18.9,0.191,0.713,0.095,2
11,10.2,0.161,0.73,0.11,2
14,7.6,0.12,0.746,0.134,1
10,4.8,0.123,0.785,0.093,2
5,4.4,0.184,0.7240000000000001,0.092,0
12,4.2,0.253,0.6829999999999999,0.065,2
3,4.1,0.19,0.705,0.105,0
9,3.6,0.142,0.655,0.203,1
7,3.3,0.124,0.6859999999999999,0.19,1
0,2.9,0.086,0.682,0.2319999999999999,1
8,2.4,0.2269999999999999,0.7140000000000001,0.059,2
6,1.9,0.193,0.695,0.113,2
4,1.8,0.17,0.7290000000000001,0.1009999999999999,0
2,1.7,0.146,0.713,0.14,1
15,1.2,0.158,0.718,0.123,0
1,1.2,0.131,0.727,0.142,0
13,1.1,0.113,0.72,0.166,0
16,10.0,0.198,0.733,0.069,2
11,6.3,0.176,0.747,0.078,2
10,3.1,0.098,0.8590000000000001,0.044,2
14,2.8,0.156,0.7509999999999999,0.093,0
5,2.1,0.221,0.7120000000000001,0.067,0
9,1.7,0.1159999999999999,0.7040000000000001,0.179,1
12,1.4,0.231,0.7170000000000001,0.052,1
7,1.4,0.143,0.741,0.1159999999999999,0
3,1.4,0.182,0.74,0.079,0
2,1.3,0.157,0.75,0.093,1
4,1.3,0.195,0.738,0.067,0
6,1.3,0.216,0.733,0.051,2
0,1.3,0.098,0.7340000000000001,0.168,0
8,1.2,0.2189999999999999,0.742,0.039,2
15,0.8,0.2019999999999999,0.74,0.057,0
13,0.8,0.179,0.7190000000000001,0.102,0
1,0.8,0.181,0.736,0.0819999999999999,0
16,10.7,0.177,0.742,0.081,2
11,6.5,0.165,0.748,0.087,2
10,3.2,0.106,0.851,0.044,2
14,3.1,0.1369999999999999,0.7559999999999999,0.107,0
9,2.5,0.095,0.7240000000000001,0.182,1
5,2.3,0.2,0.732,0.068,0
3,1.6,0.168,0.754,0.078,0
7,1.6,0.128,0.723,0.148,0
0,1.6,0.085,0.725,0.19,0
12,1.5,0.23,0.711,0.06,1
6,1.5,0.203,0.746,0.051,2
4,1.3,0.1639999999999999,0.759,0.076,0
2,1.2,0.161,0.748,0.091,1
8,1.2,0.241,0.7290000000000001,0.03,2
15,0.9,0.1689999999999999,0.752,0.079,0
1,0.8,0.179,0.736,0.085,0
13,0.6,0.152,0.72,0.128,0
16,10.3,0.188,0.7390000000000001,0.073,2
11,6.4,0.171,0.7440000000000001,0.085,2
10,3.3,0.107,0.852,0.04,2
14,2.8,0.14,0.7559999999999999,0.104,0
9,2.6,0.127,0.6859999999999999,0.187,1
5,2.2,0.214,0.7240000000000001,0.062,0
7,1.6,0.1369999999999999,0.737,0.126,0
0,1.6,0.094,0.7140000000000001,0.192,1
3,1.5,0.177,0.752,0.07,0
6,1.5,0.259,0.695,0.046,2
4,1.4,0.173,0.7490000000000001,0.078,0
12,1.4,0.2339999999999999,0.7140000000000001,0.052,1
2,1.3,0.166,0.763,0.07,1
8,1.2,0.192,0.772,0.036,2
15,0.9,0.187,0.735,0.078,0
13,0.8,0.15,0.722,0.128,0
1,0.7,0.13,0.772,0.098,0
16,11.6,0.216,0.723,0.062,2
11,7.3,0.1939999999999999,0.733,0.072,2
10,3.3,0.086,0.882,0.031,2
14,2.9,0.1669999999999999,0.754,0.08,0
5,2.2,0.2339999999999999,0.7170000000000001,0.049,0
9,2.1,0.143,0.65,0.206,1
12,1.7,0.268,0.677,0.054,1
7,1.7,0.131,0.754,0.115,0
6,1.5,0.236,0.7440000000000001,0.02,2
3,1.4,0.21,0.73,0.06,0
2,1.3,0.166,0.772,0.062,0
8,1.2,0.235,0.723,0.042,2
4,1.1,0.17,0.7559999999999999,0.073,0
0,1.1,0.081,0.6940000000000001,0.225,0
15,0.9,0.17,0.731,0.1,0
1,0.8,0.165,0.775,0.06,0
13,0.7,0.151,0.7509999999999999,0.098,0
16,7.8,0.128,0.741,0.131,2
11,5.0,0.118,0.747,0.135,1
14,4.0,0.102,0.75,0.148,0
0,3.3,0.071,0.7040000000000001,0.226,0
10,2.8,0.091,0.863,0.046,2
9,2.3,0.093,0.698,0.209,1
5,2.2,0.132,0.754,0.115,0
7,2.0,0.1009999999999999,0.725,0.174,0
3,1.6,0.1169999999999999,0.7509999999999999,0.132,0
6,1.6,0.14,0.753,0.107,2
12,1.3,0.159,0.7609999999999999,0.08,0
8,1.2,0.218,0.73,0.051,2
4,1.1,0.141,0.757,0.102,0
2,1.1,0.098,0.758,0.144,1
1,0.9,0.136,0.737,0.126,0
15,0.9,0.133,0.71,0.157,0
13,0.9,0.145,0.6940000000000001,0.161,0
16,40.5,0.153,0.736,0.11,2
11,20.5,0.138,0.735,0.126,2
14,15.7,0.1119999999999999,0.7390000000000001,0.149,0
5,9.2,0.157,0.74,0.103,0
3,6.8,0.134,0.753,0.113,0
10,6.3,0.107,0.8440000000000001,0.049,2
0,5.5,0.074,0.6940000000000001,0.231,0
12,4.6,0.2019999999999999,0.726,0.071,1
